data_set,nof_rows,nof_col,nof_num_features,nof_cat_features,nof_pos,pos_ratio,use_case,origin,LENC_nof_bin_cols,LENC-XGB_runtime,LENC-XGB_acc,LENC-XGB_adj_bal_acc,LENC-XGB_recall,LENC-XGB_precision,LENC-XGB_f2,LENC-XGB_f,LENC-CART:6_runtime,LENC-CART:6_acc,LENC-CART:6_adj_bal_acc,LENC-CART:6_recall,LENC-CART:6_precision,LENC-CART:6_f2,LENC-CART:6_f,LENC-CART:6_nof_rules,LENC-CART:6_sum_preds,LENC-CART:6_max_preds,LENC-CART:6_avg_preds,LENC-CART:*_runtime,LENC-CART:*_acc,LENC-CART:*_adj_bal_acc,LENC-CART:*_recall,LENC-CART:*_precision,LENC-CART:*_f2,LENC-CART:*_f,LENC-CART:*_nof_rules,LENC-CART:*_sum_preds,LENC-CART:*_max_preds,LENC-CART:*_avg_preds,TREES_nof_bin_cols,TREES-BRCG_runtime,TREES-BRCG_acc,TREES-BRCG_adj_bal_acc,TREES-BRCG_recall,TREES-BRCG_precision,TREES-BRCG_f2,TREES-BRCG_f,TREES-BRCG_nof_rules,TREES-BRCG_sum_preds,TREES-BRCG_max_preds,TREES-BRCG_avg_preds,NATIVE_nof_bin_cols,NATIVE-RIPPER_runtime,NATIVE-RIPPER_acc,NATIVE-RIPPER_adj_bal_acc,NATIVE-RIPPER_recall,NATIVE-RIPPER_precision,NATIVE-RIPPER_f2,NATIVE-RIPPER_f,NATIVE-RIPPER_nof_rules,NATIVE-RIPPER_sum_preds,NATIVE-RIPPER_max_preds,NATIVE-RIPPER_avg_preds,NATIVE-RIPPER2_runtime,NATIVE-RIPPER2_acc,NATIVE-RIPPER2_adj_bal_acc,NATIVE-RIPPER2_recall,NATIVE-RIPPER2_precision,NATIVE-RIPPER2_f2,NATIVE-RIPPER2_f,NATIVE-RIPPER2_nof_rules,NATIVE-RIPPER2_sum_preds,NATIVE-RIPPER2_max_preds,NATIVE-RIPPER2_avg_preds,NATIVE-RIPPER3_runtime,NATIVE-RIPPER3_acc,NATIVE-RIPPER3_adj_bal_acc,NATIVE-RIPPER3_recall,NATIVE-RIPPER3_precision,NATIVE-RIPPER3_f2,NATIVE-RIPPER3_f,NATIVE-RIPPER3_nof_rules,NATIVE-RIPPER3_sum_preds,NATIVE-RIPPER3_max_preds,NATIVE-RIPPER3_avg_preds,TREES-CORELS_runtime,TREES-CORELS_acc,TREES-CORELS_adj_bal_acc,TREES-CORELS_recall,TREES-CORELS_precision,TREES-CORELS_f2,TREES-CORELS_f,TREES-CORELS_nof_rules,TREES-CORELS_sum_preds,TREES-CORELS_max_preds,TREES-CORELS_avg_preds,TREES-BRCG2_runtime,TREES-BRCG2_acc,TREES-BRCG2_adj_bal_acc,TREES-BRCG2_recall,TREES-BRCG2_precision,TREES-BRCG2_f2,TREES-BRCG2_f,TREES-BRCG2_nof_rules,TREES-BRCG2_sum_preds,TREES-BRCG2_max_preds,TREES-BRCG2_avg_preds,TREES2_nof_bin_cols,TREES2-BRCG2_runtime,TREES2-BRCG2_acc,TREES2-BRCG2_adj_bal_acc,TREES2-BRCG2_recall,TREES2-BRCG2_precision,TREES2-BRCG2_f2,TREES2-BRCG2_f,TREES2-BRCG2_nof_rules,TREES2-BRCG2_sum_preds,TREES2-BRCG2_max_preds,TREES2-BRCG2_avg_preds,TREES2-BRCG_runtime,TREES2-BRCG_acc,TREES2-BRCG_adj_bal_acc,TREES2-BRCG_recall,TREES2-BRCG_precision,TREES2-BRCG_f2,TREES2-BRCG_f,TREES2-BRCG_nof_rules,TREES2-BRCG_sum_preds,TREES2-BRCG_max_preds,TREES2-BRCG_avg_preds,QUANTILE_nof_bin_cols,QUANTILE-BRCG_runtime,QUANTILE-BRCG_acc,QUANTILE-BRCG_adj_bal_acc,QUANTILE-BRCG_recall,QUANTILE-BRCG_precision,QUANTILE-BRCG_f2,QUANTILE-BRCG_f,QUANTILE-BRCG_nof_rules,QUANTILE-BRCG_sum_preds,QUANTILE-BRCG_max_preds,QUANTILE-BRCG_avg_preds,NATIVE-R2N_runtime,NATIVE-R2N_acc,NATIVE-R2N_adj_bal_acc,NATIVE-R2N_recall,NATIVE-R2N_precision,NATIVE-R2N_f2,NATIVE-R2N_f,NATIVE-R2N_nof_rules,NATIVE-R2N_sum_preds,NATIVE-R2N_max_preds,NATIVE-R2N_avg_preds,QUANTILE-BRCG2_runtime,QUANTILE-BRCG2_acc,QUANTILE-BRCG2_adj_bal_acc,QUANTILE-BRCG2_recall,QUANTILE-BRCG2_precision,QUANTILE-BRCG2_f2,QUANTILE-BRCG2_f,QUANTILE-BRCG2_nof_rules,QUANTILE-BRCG2_sum_preds,QUANTILE-BRCG2_max_preds,QUANTILE-BRCG2_avg_preds,QUANTILE-RIPPER_runtime,QUANTILE-RIPPER_acc,QUANTILE-RIPPER_adj_bal_acc,QUANTILE-RIPPER_recall,QUANTILE-RIPPER_precision,QUANTILE-RIPPER_f2,QUANTILE-RIPPER_f,QUANTILE-RIPPER_nof_rules,QUANTILE-RIPPER_sum_preds,QUANTILE-RIPPER_max_preds,QUANTILE-RIPPER_avg_preds,QUANTILE-CORELS_runtime,QUANTILE-CORELS_acc,QUANTILE-CORELS_adj_bal_acc,QUANTILE-CORELS_recall,QUANTILE-CORELS_precision,QUANTILE-CORELS_f2,QUANTILE-CORELS_f,QUANTILE-CORELS_nof_rules,QUANTILE-CORELS_sum_preds,QUANTILE-CORELS_max_preds,QUANTILE-CORELS_avg_preds,TREES-CORELS2_runtime,TREES-CORELS2_acc,TREES-CORELS2_adj_bal_acc,TREES-CORELS2_recall,TREES-CORELS2_precision,TREES-CORELS2_f2,TREES-CORELS2_f,TREES-CORELS2_nof_rules,TREES-CORELS2_sum_preds,TREES-CORELS2_max_preds,TREES-CORELS2_avg_preds,TREES2-CORELS2_runtime,TREES2-CORELS2_acc,TREES2-CORELS2_adj_bal_acc,TREES2-CORELS2_recall,TREES2-CORELS2_precision,TREES2-CORELS2_f2,TREES2-CORELS2_f,TREES2-CORELS2_nof_rules,TREES2-CORELS2_sum_preds,TREES2-CORELS2_max_preds,TREES2-CORELS2_avg_preds,LENC-CART:4_f,TREES-RIPPER_runtime,TREES-RIPPER_acc,TREES-RIPPER_adj_bal_acc,TREES-RIPPER_recall,TREES-RIPPER_precision,TREES-RIPPER_f2,TREES-RIPPER_f,TREES-RIPPER_nof_rules,TREES-RIPPER_sum_preds,TREES-RIPPER_max_preds,TREES-RIPPER_avg_preds,LENC-CART:4_runtime,LENC-CART:4_acc,LENC-CART:4_adj_bal_acc,LENC-CART:4_recall,LENC-CART:4_precision,LENC-CART:4_f2,LENC-CART:4_nof_rules,LENC-CART:4_sum_preds,LENC-CART:4_max_preds,LENC-CART:4_avg_preds,QUANTILE-RIPPERexception,QUANTILE-BRCGexception,LENC-CART:*exception,TREES2-BRCG2exception,TREES-BRCG2exception,TREES-BRCGexception,LENC-CART:4exception,NATIVE-RIPPERexception,NATIVE-RIPPER2exception,NATIVE-RIPPER3exception,TREES-RIPPERexception
synth_linear_1,70000,3,2,0,35376,0.5054,other,synthetic,2.0,0.88,1.0,0.99,1.0,1.0,1.0,1.0,0.05,0.98,0.97,0.99,0.98,0.99,0.99,30.0,178.0,6.0,5.93,0.05,1.0,0.99,1.0,1.0,1.0,1.0,118.0,1001.0,11.0,8.48,30.0,12.27,0.94,0.89,0.94,0.95,0.94,0.94,5.0,9.0,2.0,1.8,2.0,20.77,0.99,0.99,0.99,1.0,0.99,0.99,48.0,96.0,2.0,2.0,16.88,0.99,0.98,0.99,0.99,0.99,0.99,39.0,78.0,2.0,2.0,17.01,0.99,0.98,0.99,0.99,0.99,0.99,39.0,78.0,2.0,2.0,0.65,0.9,0.8,0.92,0.89,0.91,0.9,4.0,12.0,3.0,3.0,22.55,0.94,0.89,0.95,0.94,0.95,0.94,5.0,9.0,2.0,1.8,,,,,,,,,,,,,,,,,,,,,,,,36.0,9.67,0.93,0.86,0.97,0.9,0.95,0.93,5.0,9.0,2.0,1.8,291.13,0.99,0.99,1.0,0.99,1.0,0.99,4.0,4.0,1.0,1.0,15.68,0.94,0.88,0.95,0.93,0.95,0.94,5.0,10.0,2.0,2.0,0.29,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.69,0.89,0.78,0.88,0.9,0.88,0.89,2.0,4.0,2.0,2.0,5.48,0.83,0.67,0.79,0.87,0.8,0.83,1.0,2.0,2.0,2.0,,,,,,,,,,,,0.95,0.25,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04,0.95,0.91,0.96,0.95,0.96,8.0,32.0,4.0,4.0,,,,,,,,,,,
synth_linear_2,70000,4,3,0,35090,0.5013,other,synthetic,3.0,1.02,0.99,0.98,0.99,0.99,0.99,0.99,0.08,0.94,0.88,0.94,0.95,0.94,0.94,32.0,192.0,6.0,6.0,0.09,0.98,0.96,0.98,0.98,0.98,0.98,417.0,4308.0,14.0,10.33,30.0,44.6,0.91,0.82,0.91,0.91,0.91,0.91,8.0,19.0,3.0,2.38,3.0,75.47,0.97,0.95,0.97,0.98,0.97,0.97,87.0,251.0,4.0,2.89,84.3,0.97,0.95,0.96,0.98,0.97,0.97,91.0,258.0,3.0,2.84,83.5,0.97,0.95,0.96,0.98,0.97,0.97,91.0,258.0,3.0,2.84,0.65,0.8,0.6,0.88,0.76,0.85,0.82,4.0,12.0,3.0,3.0,49.82,0.9,0.8,0.89,0.91,0.89,0.9,9.0,23.0,3.0,2.56,,,,,,,,,,,,,,,,,,,,,,,,54.0,83.93,0.91,0.82,0.92,0.91,0.91,0.91,8.0,19.0,3.0,2.38,291.92,1.0,0.99,1.0,0.99,1.0,1.0,5.0,5.0,1.0,1.0,107.34,0.93,0.85,0.94,0.91,0.94,0.93,14.0,36.0,3.0,2.57,0.37,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.21,0.77,0.54,0.71,0.8,0.73,0.75,2.0,4.0,2.0,2.0,6.03,0.76,0.53,0.94,0.7,0.88,0.8,3.0,6.0,2.0,2.0,,,,,,,,,,,,0.89,0.28,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.89,0.78,0.9,0.88,0.9,8.0,32.0,4.0,4.0,,,,,,,,,,,
synth_linear_3,70000,5,4,0,34773,0.4968,other,synthetic,4.0,1.17,0.99,0.97,0.99,0.99,0.99,0.99,0.1,0.9,0.8,0.91,0.89,0.9,0.9,33.0,198.0,6.0,6.0,0.14,0.96,0.91,0.95,0.96,0.95,0.95,846.0,9590.0,15.0,11.34,30.0,40.62,0.87,0.75,0.87,0.87,0.87,0.87,8.0,21.0,3.0,2.62,4.0,170.63,0.95,0.9,0.93,0.97,0.94,0.95,128.0,470.0,4.0,3.67,132.21,0.94,0.88,0.91,0.97,0.92,0.94,91.0,330.0,4.0,3.63,131.75,0.94,0.88,0.91,0.97,0.92,0.94,91.0,330.0,4.0,3.63,0.66,0.77,0.55,0.85,0.73,0.82,0.79,4.0,12.0,3.0,3.0,83.41,0.87,0.74,0.85,0.88,0.86,0.86,8.0,23.0,4.0,2.88,,,,,,,,,,,,,,,,,,,,,,,,72.0,111.43,0.88,0.76,0.86,0.89,0.87,0.87,8.0,23.0,3.0,2.88,294.4,1.0,0.99,0.99,1.0,1.0,1.0,5.0,5.0,1.0,1.0,114.85,0.88,0.75,0.88,0.87,0.88,0.87,11.0,34.0,4.0,3.09,0.49,0.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63,0.72,0.44,0.8,0.68,0.77,0.74,2.0,4.0,2.0,2.0,6.36,0.72,0.44,0.89,0.66,0.83,0.76,3.0,6.0,2.0,2.0,,,,,,,,,,,,0.86,0.29,0.51,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.86,0.72,0.89,0.83,0.88,9.0,36.0,4.0,4.0,,,,,,,,,,,
synth_linear_4,70000,6,5,0,35081,0.5012,other,synthetic,5.0,1.37,0.98,0.96,0.98,0.98,0.98,0.98,0.12,0.87,0.74,0.88,0.86,0.87,0.87,33.0,198.0,6.0,6.0,0.18,0.92,0.84,0.92,0.92,0.92,0.92,1185.0,14073.0,17.0,11.88,30.0,73.04,0.83,0.65,0.79,0.85,0.8,0.82,7.0,20.0,3.0,2.86,5.0,269.44,0.92,0.85,0.91,0.94,0.91,0.92,140.0,599.0,5.0,4.28,182.11,0.92,0.84,0.91,0.93,0.91,0.92,91.0,371.0,5.0,4.08,301.17,0.92,0.84,0.9,0.94,0.91,0.92,147.0,627.0,6.0,4.27,0.71,0.73,0.46,0.65,0.77,0.67,0.71,2.0,4.0,2.0,2.0,101.6,0.84,0.68,0.8,0.87,0.81,0.83,11.0,36.0,5.0,3.27,,,,,,,,,,,,,,,,,,,,,,,,90.0,107.61,0.83,0.66,0.84,0.82,0.84,0.83,7.0,22.0,5.0,3.14,302.67,0.98,0.97,1.0,0.97,0.99,0.98,7.0,7.0,1.0,1.0,106.57,0.84,0.68,0.88,0.81,0.87,0.85,9.0,28.0,5.0,3.11,0.77,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,4.07,0.69,0.38,0.68,0.69,0.68,0.69,1.0,2.0,2.0,2.0,7.1,0.68,0.37,0.59,0.72,0.62,0.65,1.0,2.0,2.0,2.0,,,,,,,,,,,,0.78,0.36,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.78,0.57,0.76,0.8,0.77,8.0,32.0,4.0,4.0,,,,,,,,,,,
synth_linear_5,70000,7,6,0,34888,0.4984,other,synthetic,6.0,1.41,0.98,0.95,0.97,0.98,0.98,0.98,0.15,0.84,0.69,0.85,0.84,0.85,0.84,32.0,192.0,6.0,6.0,0.23,0.9,0.8,0.9,0.9,0.9,0.9,1472.0,18041.0,18.0,12.26,30.0,106.38,0.81,0.62,0.77,0.84,0.78,0.8,7.0,22.0,4.0,3.14,6.0,265.91,0.9,0.8,0.88,0.92,0.89,0.9,108.0,499.0,6.0,4.62,387.58,0.91,0.82,0.89,0.92,0.9,0.91,151.0,724.0,7.0,4.79,522.59,0.91,0.82,0.89,0.92,0.9,0.91,151.0,724.0,7.0,4.79,0.68,0.7,0.4,0.8,0.67,0.77,0.73,4.0,12.0,3.0,3.0,104.93,0.81,0.63,0.78,0.83,0.79,0.81,12.0,50.0,7.0,4.17,,,,,,,,,,,,,,,,,,,,,,,,108.0,101.25,0.77,0.54,0.75,0.78,0.75,0.76,3.0,13.0,6.0,4.33,3907.11,0.97,0.93,1.0,0.93,0.99,0.97,6.0,6.0,1.0,1.0,791.57,0.75,0.5,0.73,0.76,0.73,0.74,4.0,14.0,6.0,3.5,1007.2,0.92,0.84,0.92,0.92,0.92,0.92,245.0,1577.0,9.0,6.44,5.49,0.67,0.33,0.74,0.64,0.72,0.69,2.0,4.0,2.0,2.0,6.65,0.67,0.34,0.66,0.67,0.67,0.67,1.0,2.0,2.0,2.0,,,,,,,,,,,,0.74,0.33,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11,0.74,0.48,0.74,0.74,0.74,8.0,32.0,4.0,4.0,,,,,,,,,,,
synth_linear_6,70000,8,7,0,34676,0.4954,other,synthetic,7.0,1.46,0.97,0.94,0.97,0.97,0.97,0.97,0.17,0.8,0.61,0.79,0.81,0.79,0.8,28.0,168.0,6.0,6.0,0.27,0.87,0.75,0.88,0.87,0.88,0.87,1694.0,21120.0,18.0,12.47,30.0,71.44,0.79,0.59,0.78,0.8,0.78,0.79,7.0,22.0,4.0,3.14,7.0,441.9,0.89,0.79,0.88,0.9,0.88,0.89,166.0,850.0,7.0,5.12,446.46,0.9,0.79,0.88,0.91,0.89,0.9,165.0,859.0,8.0,5.21,455.54,0.9,0.79,0.88,0.91,0.89,0.9,165.0,859.0,8.0,5.21,0.69,0.7,0.4,0.77,0.67,0.75,0.72,4.0,12.0,3.0,3.0,103.93,0.81,0.62,0.82,0.8,0.82,0.81,13.0,53.0,7.0,4.08,,,,,,,,,,,,,,,,,,,,,,,,126.0,112.16,0.78,0.56,0.8,0.76,0.79,0.78,5.0,15.0,3.0,3.0,300.98,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,116.47,0.79,0.58,0.79,0.78,0.79,0.79,7.0,28.0,6.0,4.0,978.16,0.9,0.8,0.9,0.91,0.9,0.9,262.0,1770.0,10.0,6.76,7.56,0.66,0.32,0.59,0.68,0.61,0.63,1.0,2.0,2.0,2.0,6.95,0.66,0.32,0.55,0.7,0.58,0.62,1.0,2.0,2.0,2.0,,,,,,,,,,,,0.7,0.36,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.73,0.45,0.64,0.77,0.66,6.0,24.0,4.0,4.0,,,,,,,,,,,
synth_linear_7,70000,9,8,0,35022,0.5003,other,synthetic,8.0,1.56,0.97,0.94,0.97,0.97,0.97,0.97,0.19,0.77,0.55,0.78,0.77,0.78,0.77,33.0,198.0,6.0,6.0,0.31,0.86,0.71,0.86,0.85,0.86,0.86,1876.0,23733.0,19.0,12.65,30.0,112.87,0.78,0.56,0.74,0.8,0.75,0.77,8.0,28.0,4.0,3.5,8.0,539.08,0.88,0.77,0.86,0.9,0.87,0.88,175.0,968.0,8.0,5.53,430.0,0.88,0.76,0.86,0.89,0.87,0.88,140.0,756.0,8.0,5.4,492.68,0.88,0.76,0.86,0.89,0.87,0.88,159.0,878.0,8.0,5.52,0.73,0.68,0.36,0.61,0.71,0.62,0.65,2.0,4.0,2.0,2.0,106.45,0.8,0.61,0.78,0.82,0.79,0.8,13.0,50.0,4.0,3.85,,,,,,,,,,,,,,,,,,,,,,,,144.0,119.01,0.76,0.52,0.76,0.76,0.76,0.76,4.0,13.0,4.0,3.25,300.44,0.56,0.12,1.0,0.53,0.85,0.69,5.0,5.0,1.0,1.0,115.99,0.77,0.54,0.78,0.77,0.78,0.77,5.0,21.0,8.0,4.2,627.37,0.88,0.77,0.89,0.88,0.89,0.88,212.0,1419.0,9.0,6.69,9.67,0.65,0.3,0.64,0.65,0.64,0.65,1.0,2.0,2.0,2.0,6.96,0.64,0.28,0.77,0.61,0.73,0.68,2.0,4.0,2.0,2.0,,,,,,,,,,,,0.71,0.39,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14,0.7,0.41,0.72,0.69,0.72,8.0,32.0,4.0,4.0,,,,,,,,,,,
synth_linear_8,70000,10,9,0,35144,0.5021,other,synthetic,9.0,1.89,0.97,0.93,0.97,0.97,0.97,0.97,0.21,0.75,0.51,0.75,0.76,0.75,0.75,32.0,192.0,6.0,6.0,0.36,0.84,0.68,0.84,0.84,0.84,0.84,2052.0,26430.0,20.0,12.88,30.0,101.84,0.77,0.55,0.78,0.77,0.78,0.78,8.0,25.0,4.0,3.12,9.0,589.89,0.87,0.75,0.86,0.88,0.87,0.87,173.0,1004.0,9.0,5.8,566.58,0.87,0.74,0.85,0.89,0.86,0.87,158.0,921.0,9.0,5.83,568.13,0.87,0.74,0.85,0.89,0.86,0.87,158.0,921.0,9.0,5.83,0.76,0.67,0.34,0.75,0.65,0.72,0.69,4.0,12.0,3.0,3.0,109.12,0.8,0.59,0.79,0.81,0.79,0.8,20.0,80.0,5.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,162.0,117.38,0.75,0.5,0.79,0.73,0.78,0.76,5.0,18.0,4.0,3.6,297.37,0.98,0.96,1.0,0.96,0.99,0.98,4.0,4.0,1.0,1.0,110.62,0.76,0.51,0.76,0.75,0.76,0.76,5.0,19.0,5.0,3.8,769.6,0.88,0.75,0.88,0.88,0.88,0.88,223.0,1529.0,10.0,6.86,12.71,0.64,0.27,0.72,0.62,0.69,0.66,2.0,4.0,2.0,2.0,7.0,0.64,0.28,0.74,0.62,0.71,0.67,2.0,4.0,2.0,2.0,,,,,,,,,,,,0.72,0.41,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.16,0.7,0.4,0.79,0.67,0.76,10.0,40.0,4.0,4.0,,,,,,,,,,,
synth_linear_9,70000,11,10,0,34973,0.4996,other,synthetic,10.0,2.07,0.96,0.93,0.96,0.96,0.96,0.96,0.23,0.73,0.47,0.75,0.73,0.74,0.74,35.0,210.0,6.0,6.0,0.4,0.82,0.64,0.82,0.82,0.82,0.82,2167.0,27998.0,18.0,12.92,30.0,63.42,0.73,0.45,0.66,0.76,0.67,0.71,5.0,16.0,4.0,3.2,10.0,593.1,0.86,0.72,0.85,0.87,0.85,0.86,156.0,912.0,8.0,5.85,626.73,0.86,0.72,0.85,0.87,0.85,0.86,159.0,948.0,9.0,5.96,8707.74,0.86,0.72,0.85,0.87,0.85,0.86,184.0,1107.0,9.0,6.02,0.76,0.65,0.3,0.77,0.62,0.74,0.69,4.0,12.0,3.0,3.0,983.6,0.73,0.47,0.66,0.78,0.68,0.71,6.0,21.0,4.0,3.5,,,,,,,,,,,,,,,,,,,,,,,,180.0,988.38,0.69,0.38,0.63,0.72,0.65,0.67,2.0,12.0,8.0,6.0,5886.23,0.61,0.22,1.0,0.56,0.87,0.72,2.0,2.0,1.0,1.0,980.27,0.69,0.39,0.61,0.73,0.63,0.67,2.0,12.0,8.0,6.0,15780.24,0.87,0.73,0.86,0.87,0.86,0.87,228.0,1599.0,10.0,7.01,19.36,0.63,0.26,0.55,0.66,0.57,0.6,1.0,2.0,2.0,2.0,7.03,0.63,0.26,0.57,0.65,0.58,0.61,1.0,2.0,2.0,2.0,,,,,,,,,,,,0.66,0.4,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18,0.68,0.36,0.62,0.71,0.64,7.0,28.0,4.0,4.0,,,,,,,,,,,
synth_conj1_0,100000,2,1,0,50173,0.5017,other,synthetic,1.0,0.22,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.77,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.69,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.68,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.27,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,18.0,0.88,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1323.36,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,1.0,1.0,1.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.4,0.9,0.8,1.0,0.84,0.96,0.91,1.0,1.0,1.0,1.0,0.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.16,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.18,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.01,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,,,,,,,,,,,
synth_conj1_1,100000,3,2,0,24993,0.2499,other,synthetic,2.0,0.28,1.0,1.0,1.0,1.0,1.0,1.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.02,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0.43,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,2.0,2.37,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.7,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,2.73,1.0,1.0,1.0,1.0,1.0,1.0,2.0,4.0,2.0,2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.38,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,4.0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.46,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,36.0,1.67,1.0,1.0,1.0,0.99,1.0,1.0,1.0,2.0,2.0,2.0,3809.29,1.0,0.99,0.99,0.99,0.99,0.99,1.0,2.0,2.0,2.0,2.06,1.0,1.0,1.0,0.99,1.0,1.0,1.0,2.0,2.0,2.0,0.64,1.0,1.0,1.0,0.99,1.0,1.0,1.0,2.0,2.0,2.0,0.89,1.0,1.0,1.0,0.99,1.0,1.0,1.0,2.0,2.0,2.0,0.2,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.21,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,0.23,1.0,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,0.03,1.0,1.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,,,,,,,,,,,
synth_conj1_2,100000,4,3,0,12435,0.1244,other,synthetic,3.0,0.38,1.0,1.0,1.0,1.0,1.0,1.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,0.3,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,3.0,3.06,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,9.68,1.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,3.0,2.12,9.81,1.0,1.0,1.0,1.0,1.0,1.0,8.0,17.0,3.0,2.12,0.25,1.0,1.0,1.0,1.0,1.0,1.0,2.0,6.0,3.0,3.0,0.29,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,6.0,0.36,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.39,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,54.0,5.18,0.97,0.76,0.76,1.0,0.8,0.86,4.0,12.0,3.0,3.0,419.68,1.0,1.0,1.0,0.98,1.0,0.99,1.0,3.0,3.0,3.0,5.4,0.97,0.75,0.75,1.0,0.79,0.86,5.0,15.0,3.0,3.0,4.24,0.99,0.98,0.99,0.92,0.98,0.95,9.0,53.0,8.0,5.89,1.99,0.9,0.88,0.99,0.55,0.85,0.7,2.0,6.0,3.0,3.0,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.26,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,1.0,0.28,1.0,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,0.04,1.0,1.0,1.0,1.0,1.0,1.0,3.0,3.0,3.0,,,,,,,,,,,
